"x [nm]","y [nm]","?x [nm]","?y [nm]","sigma_x","sigma_y","del_sigma_x","del_sigma_y","t"
36154.14397,15600.91715,13.02509,19.59339,117.15577,174.761,13.79865,20.30155,1129035.74481
35995.42975,15313.87395,34.03986,17.34439,20.24736,61.7203,52.33967,19.27112,1129518.49932
35429.02664,15012.33455,5.56082,5.90343,95.35427,100.70964,5.69577,6.01174,1134917.75524
36007.63828,15255.00728,7.96241,6.26308,91.9099,76.391,8.86277,6.8361,1152343.50726
35984.45828,15248.06637,9.74074,14.24331,92.5373,132.30104,11.18577,16.16237,1152634.11304
36087.50079,15657.26853,8.32014,7.87836,76.47399,72.39651,8.23519,7.79976,1154659.95774
35933.97326,15367.53774,12.50927,17.20407,87.30164,110.24017,13.93577,19.7459,1158577.0264
36000.28715,15284.08654,3.31015,3.80892,103.59131,119.20034,3.14202,3.61498,1159139.74111
35449.99654,15009.14346,10.38847,13.47406,70.15146,90.58272,11.07066,14.67007,1177554.35873
36088.45159,15530.85583,13.13155,12.77955,68.18177,68.98744,14.26022,13.27433,1182417.16185
36080.59705,15430.28239,9.06419,7.65407,128.91776,108.91017,9.7783,8.34097,1186833.51871
36096.46711,15630.52119,6.6532,6.28428,88.65815,82.12568,6.53137,6.32966,1190580.92172
36004.20686,15299.1028,4.08093,3.9731,103.93895,101.19242,3.89313,3.79049,1191607.7781
35971.43267,15314.50611,9.37211,7.1744,94.33608,80.30268,10.06038,7.35747,1194636.917
35956.846,15316.434,15.96242,31.22665,87.41574,139.01883,21.60775,38.69338,1194840.27462
35997.99545,15231.13261,4.47839,5.04696,93.16718,104.8843,4.38322,4.91602,1199847.82809
36121.26249,15485.77871,8.68507,9.75155,79.92539,89.66917,12.55777,14.22951,1201361.60145
36143.11658,15463.8653,33.22755,45.80529,122.64182,164.89686,42.3775,57.64425,1201879.12897
35452.78195,15058.78642,8.88066,8.37021,78.13256,78.64096,10.11944,9.50857,1202746.55663
35456.58578,15000.99713,26.73991,21.78553,103.86833,90.40249,29.86084,24.46042,1203232.80225
36122.09346,15462.56459,3.79325,4.50535,99.77953,118.50889,3.66529,4.34625,1206110.05646
36076.40509,15466.12096,9.39061,20.75899,63.35994,138.02329,9.07991,20.33009,1207141.60835
35969.90745,15371.34408,17.62735,16.50126,90.60034,88.99402,35.31626,33.1815,1210162.24133
35471.62378,15069.25539,8.91193,8.89451,98.98074,99.63169,10.99826,11.52743,1235629.38383
36012.34518,15343.03899,4.95131,5.47064,104.07069,115.23309,4.87526,5.4152,1245797.93994
36031.12287,15341.51988,25.47052,24.03848,199.14544,184.959,40.86218,37.90061,1246532.06944
35468.58057,15085.19789,4.25304,4.87324,91.61415,103.04414,4.39709,5.0518,1263362.81602
35597.42109,15118.51725,4.36869,13.93372,20.93476,44.61549,113.20467,20.38131,1263988.97753
36105.39477,15555.10775,6.75054,8.78728,84.63478,94.55532,7.01715,9.62442,1264524.50527
36029.31929,15225.54303,4.47085,4.99972,99.07901,110.82149,4.53114,5.09292,1274921.80801
35990.79075,15314.3309,5.31337,6.52617,80.6887,99.05842,5.11922,6.26211,1276226.05122
36120.99509,15452.98385,5.21512,4.97489,108.44004,104.55296,5.55483,5.37693,1288163.01164
36124.67271,15380.91977,9.8434,30.39261,54.27856,163.56429,9.47332,30.39685,1288877.00048
36093.69168,15507.15554,5.81577,7.58402,109.09997,141.57113,5.9031,7.63204,1292483.75147
35432.7541,15036.51598,15.64564,16.22246,106.3484,110.77418,23.42634,23.78581,1300268.69693
35495.80692,15092.48551,19.79555,22.25617,81.49623,87.95328,36.46857,39.54503,1301764.21142
35945.69416,15355.50908,15.60116,6.33507,91.89062,41.59791,15.94095,5.93647,1302890.20336
36115.54191,15460.0852,7.93723,8.35683,94.78489,99.79051,8.21378,8.62165,1325209.03511
36096.72873,15633.06799,4.25123,4.30309,101.85922,103.27438,4.1748,4.22893,1328705.76849
36084.32444,15545.40772,18.51229,25.32311,110.68346,147.0855,20.87739,28.2108,1329383.72293
35976.23783,15412.65641,8.68313,11.70714,82.58895,97.97556,9.24015,12.73385,1354923.46596
35964.80712,15304.67042,3.64258,4.3581,101.10923,120.96512,3.51336,4.19692,1356927.85857
35549.32819,15147.65637,3.81244,3.97487,94.14575,98.72413,3.6628,3.79834,1360336.70827
35548.98111,15147.31186,9.39907,9.28811,108.33033,107.05323,9.28336,9.18197,1361069.30976
